시장명,최종주소,X,Y,store_num,Bus_st_num,Ur_rail_nu,Bus_te_num,spot_num_3,univ_num_1,ur_park_num,Cul_hall_n,Mart_num_1,parking_num,parking_car_num,stor_cnt,residnt_cnt_sum,mkt_cnt_sum,stor_cnt_sum,person_mkt_cnt,매출액
원종종합시장,경기도 부천시 삼작로 394,126.8055719,37.5197146,52,145,0,0,0,0,0,0,1,0,0,51,819990,19,1910,429,28.51533505
대림골목시장,서울특별시 은평구 응암로 12길 8,126.9174719,37.5878843,80,125,2,0,0,2,1,2,1,0,0,100,480617,16,1150,418,28.47243568
상계중앙시장,서울특별시 노원구 상계로 23가길 24,127.0702925,37.6590622,64,96,3,0,0,0,3,2,1,0,0,70,523708,4,358,1463,28.47243568
신응암시장,서울특별시 은평구 응암로22길3-1,126.9187095,37.5939145,49,119,2,0,0,1,1,2,1,0,0,52,480617,16,1150,418,28.47243568
중앙로상점가,제주특별자치도 제주시 이도일동 1460,126.5239936,33.5101217,229,81,0,0,0,0,0,1,1,3,68,0,492072,20,229,2149,28.45204212
양곡시장,경기도 김포시 양촌읍 양곡1로 42-2,126.6238064,37.6544637,76,94,0,0,0,0,0,0,1,1,46,76,469340,4,354,1326,28.4212279
양곡오라니장터시장,경기도 김포시 양촌읍 양곡1로 54,126.6235513,37.6553887,77,82,0,0,0,0,0,0,1,1,46,77,469340,4,354,1326,28.4212279
세종대평시장,세종특별자치시 금남면 대평시장1길 17-2,127.2820605,36.4672544,76,90,0,0,0,0,0,0,1,0,0,64,353430,4,477,741,28.41844219
성내전통시장,서울특별시 강동구 천호대로162길 61,127.1278982,37.5341762,74,85,4,0,0,0,0,0,1,2,184,86,458604,13,1246,368,28.37621043
도일시장,경기도 시흥시 거모동 1669-22,126.7840785,37.3395033,55,55,0,0,0,0,0,0,1,2,73,54,497925,4,332,1500,28.36565323
동부시장,인천광역시 동구 샛골로 164-5,126.6452478,37.476961,43,117,1,0,0,1,0,1,1,3,181,54,62747,9,10525,6,28.35898086
현대시장,인천광역시 동구 송림로109번길 21,126.6461202,37.4774846,269,102,0,0,0,1,0,1,1,3,181,334,62747,9,10525,6,28.35898086
분당종합시장,경기도 성남시 분당구 돌마로366번길 42,127.1267527,37.3671826,48,102,0,0,0,0,0,0,1,1,129,40,482614,15,1322,365,28.3289427
원종중앙시장,경기도 부천시 성오로 124번길 47,126.802319,37.5250608,62,152,0,0,0,0,0,0,1,1,82,70,819990,19,1910,429,28.32315323
중부농수산물시장,경기도 안양시 만안구 안양로248번길23,126.9256036,37.3959192,18,145,1,0,0,2,0,1,1,0,0,1438,239947,2,1605,149,28.29390926
양동건어물시장,광주광역시 서구 천변좌로 254번길 6,126.9032798,35.1531346,64,97,3,1,0,0,0,1,1,7,191,68,297214,17,2392,124,28.24826018
남천해변시장,부산광역시 수영구 광안해변로15번길 77,129.1091201,35.1391585,160,0,4,0,1,1,0,2,1,2,103,220,176885,38,2851,62,28.09076131
(주)신정시장,울산광역시 남구 월평로47번길 7,129.3102975,35.5423176,105,79,0,1,0,0,0,2,1,4,240,94,320716,18,2370,135,28.04068432
신정상가시장,울산광역시 남구 월평로47번길 15,129.3101212,35.5430045,262,75,0,1,0,0,0,2,1,4,240,271,320716,18,2370,135,28.04068432
덕계종합상설장시장,경상남도 양산시 덕계2길 7,129.1471381,35.369725,138,83,0,0,0,0,0,0,1,3,217,229,351797,7,768,458,27.93088128
봉덕신시장,대구광역시 남구 봉덕로 115,128.6032615,35.8450189,251,145,0,0,0,0,0,3,1,5,228,240,146658,47,4097,36,27.90881316
남부골목시장,서울특별시 강서구 곰달래로 55길4(화곡동),126.8607321,37.5322614,160,94,2,0,0,0,0,1,1,1,138,175,581909,15,1368,425,27.89489926
신정제일시장,서울특별시 양천구 중앙로34길 30,126.8536889,37.5208132,51,87,2,0,0,0,1,1,1,1,157,16,455058,21,1359,335,27.85756758
답십리시장,서울특별시 동대문구 답십리동 66-39,127.0580705,37.5732047,57,88,1,0,1,0,0,1,1,0,0,62,343377,38,5801,59,27.84798236
전농로터리시장,서울특별시 동대문구 전농로 15길 7,127.0569581,37.5779263,85,74,1,0,1,1,0,1,1,0,0,75,343377,38,5801,59,27.84798236
부천제일시장,경기도 부천시 고강로40번길 55,126.8093328,37.527925,149,140,0,0,0,0,0,0,1,2,120,168,819990,19,1910,429,27.84301037
남동산업용품상가,인천광역시 남동구 은청로4-7,126.6935067,37.4070619,623,49,3,0,0,0,0,0,1,1,94,427,526337,8,1284,410,27.80851037
서정리시장,경기도 평택시 서정동 328-8,127.0559231,37.0578333,105,89,1,1,0,0,0,1,1,3,150,173,534343,5,1283,416,27.80682665
봉덕시장,대구광역시 남구 대봉로 17길5-3,128.6036763,35.8457019,70,144,0,0,0,0,0,3,1,4,185,85,146658,47,4097,36,27.78081316
영천시장,서울특별시 서대문구 영천동 323,126.9618517,37.5703254,137,134,2,0,0,2,0,4,1,0,0,127,312325,11,1085,288,27.75700623
통일상가,서울특별시 중구 청계천로 260-14,127.0063022,37.5688878,627,87,10,0,0,0,0,3,1,4,126,626,125505,62,21039,6,27.66813905
송강시장,대전광역시 유성구 구즉로 74-7,127.3866507,36.4351411,80,83,0,0,0,0,1,0,1,2,145,88,351790,4,488,721,27.61913271
동화상가,서울특별시 중구 을지로6가 17-415,127.0069172,37.5686137,1156,88,10,0,0,0,0,3,1,5,143,696,125505,62,21039,6,27.56545724
