관광지명,소재지지번주소,위도,경도,면적
다덕약수관광지,경상북도 봉화군 봉성면 우곡리 505-5,36.9141215,128.8273232,88720
수동관광지,경기도 남양주시 수동면 내방리 254,37.75797919,127.2753596,225000
오동도,전라남도 여수시 수정동 1-2,34.7443435,127.764121,130000
진남관,전라남도 여수시 군자동 472,34.7413383,127.7365704,792
향일암,전라남도 여수시 율림리 산 7,34.59379448,127.8029861,0
여수해상케이블카,전라남도 여수시 수정동 332-57,34.7402223,127.7529197,0
망상,강원도 동해시 망상동 393-100 망상종합관광안내소,37.59225327,129.0896922,459397
추암,강원도 동해시 추암동 1,37.477063,129.159196,33216
녹진관광지,전라남도 진도군 군내면 녹진리 산2-14,34.568986,126.300201,227299
회동관광지,전라남도 진도군 고군면 금계리 153-1,34.42726548,126.3513474,2962920
아리랑마을관광지,전라남도 진도군 임회면 상만리 11,34.38201529,126.2310334,298930
달성토성마을,대구광역시 서구 비산동 404-5,35.87331563,128.5753765,45000
고석정,강원도 철원군 동송읍 장흥리 20-1,38.18542141,127.2874037,793689
직탕,강원도 철원군 갈말읍 상사리 552,38.2069247,127.2690548,94530
비비정,,35.90154901,127.071693,98
비비정예술열차,,35.89880244,127.0676418,876
상관 공기마을 편백숲,,35.737491,127.2023884,86
삼례문화예술촌,,35.90623513,127.0658535,11800
삼례책마을,,35.90745719,127.065756,2445
그림책미술관,,35.90832046,127.068059,757
오도산 자연휴양림,경상남도 합천군 봉산면 압곡리 산150,35.67233319,128.0553007,506854
보수동책방골목,부산광역시 중구 보수동1가 124-15,35.10323904,129.0263248,0
용두산공원,부산광역시 중구 광복동2가 1-2,35.1009305,129.0324434,0
광복로,부산광역시 중구 창선동1가 44,35.09947039,129.0311659,0
부산영화체험박물관,부산광역시 중구 동광동3가 41-4,35.10169342,129.033594,0
다산초당,,34.5807211,126.7449445,3000
고려청자박물관,,34.50866203,126.8008374,3000
백련사,,34.58775658,126.747892,3000
무릉계곡,강원도 동해시 삼화동 860-1,37.463551,129.01451,156000
소래습지생태공원,,37.40736572,126.7463366,1478000
소래철교,,37.3988308,126.7403795,152
장도포대지,인천광역시 남동구 논현동 111-13,37.39790186,126.7382687,2275
소래역사관,,37.39816347,126.7375992,1234
서포리관광지,인천광역시 옹진군 덕적면 서포리 229-23,37.2232919,126.1169337,228769
고씨굴 관광지,강원도 영월군 김삿갓면 진별리 506-1,37.13117779,128.5352623,106.383
밀양향교,,35.506326,128.754685,5068
밀양관아,,35.49429512,128.754331,7110
밀양영남루,,35.49154522,128.755608,12931
만어사,,35.454932,128.846222,115149
표충사,,35.532294,128.959045,29751
마니산 국민관광지,인천광역시 강화군 화도면 상방리 402-2,37.63245827,126.4237957,486000
인천가스과학관,인천광역시 연수구 송도동 364,37.3494035,126.6095857,6096
인천상륙작전기념관,인천광역시 연수구 옥련동 525,37.42070925,126.6531798,1788
컴팩스마트시티,인천광역시 연수구 송도동24-7,37.39281227,126.6358879,8409
가천박물관,인천광역시 연수구 옥련동 567-22,37.41847997,126.6576026,396
주왕산 관광지,경상북도 청송군 주왕산면 하의리 842,36.37813214,129.108598,249642.6
창원과학체험관,,35.230268,128.6617774,31565
마산해양레포츠센터,,35.19796654,128.5759021,1092
웅천도요지전시관,,35.12738997,128.8155983,33654
진해해양레포츠센터,,35.14129989,128.6883002,4400
영랑생가,,34.6420738,126.7655711,3000
벽계야영장,,35.42604967,128.2080942,56940
을지전망대,강원도 양구군 해안면 후리 621,38.32474146,128.1355518,324
제4땅굴,강원도 양구군 해안면 이현리 743,38.31963542,128.1107276,1652
국토정중앙천문대,강원도 양구군 남면 도촌리 96-5,38.06894001,128.029678,1166
"양구자연생태공원(생태식물원,DMZ야상화분재원,DMZ야생동물생태관)",강원도 양구군 동면 원당리 180,38.191978,128.0769702,222141
통도사,경상남도 양산시 하북면 지산리 583,35.47540912,129.0563672,16855179
내원사계곡(내원사),경상남도 양산시 하북면 용연리 291,35.44578536,129.1104508,13221
홍룡폭포(홍룡사),경상남도 양산시 상북면 대석리 1,35.39699967,129.0864895,4499
정양늪생태공원,경상남도 합천군 대양면 정양리 146,35.55322772,128.162786,124024
대운산자연휴양림,경상남도 양산시 용당동 산66,35.41785462,129.2088998,2400000
법기수원지,경상남도 양산시 동면 법기리 332,35.34825271,129.1079758,680000
양산타워,경상남도 양산시 동면 석산리 652,35.32782588,129.0276012,135
에덴밸리,경상남도 양산시 원동면 대리 1040-1,35.42905699,128.9844664,2446280
통도환타지아,경상남도 양산시 하북 면순지리 470,35.4999924,129.0831299,280991
황산공원,경상남도 양산시 물금읍 물금리 162-1,35.30173083,128.9895949,1873000
주남저수지,,35.30732964,128.6779306,8980000
마금산온천,,35.35464845,128.6094168,528000
사라실 예술촌,전라남도 광양시 사곡리 1005,34.962211,127.626222,14000
광양 마로산성,전라남도 광양시 사곡리 산 254,34.966742,127.619496,10029
광양 궁시장,전라남도 광양시 광양읍 구산리 716,34.98778794,127.5865036,1377
매천황현생가,전라남도 광양시 봉강면 석사리 758,34.99341564,127.561707,522
해달별천문대,전라남도 광양시 봉강면 조령리 산 222-7,35.07478024,127.5540516,1421
백운산자연휴양림,전라남도 광양시 옥룡면 추산리 산 114,35.05645795,127.5976491,5157
유치환의 우체통,부산광역시 동구 초량동 827-44,35.12209542,129.0338423,111
168계단 부대시설,부산광역시 동구 초량동 994-520,35.11769766,129.0353474,179.6
김민부전망대,부산광역시 동구 초량동 994-520,35.11769766,129.0353474,179.6
소흥관(한중우호센터),부산광역시 동구 초량동 546,35.11507608,129.0375502,226.05
안용복기념 부산포개항문화관,부산광역시 동구 좌천동 722,35.13563677,129.0529467,113.26
좌천동굴,부산광역시 동구 좌천동 567-2,35.13325838,129.0522683,61
만화체험관,부산광역시 동구 범일동 1405-1,35.13767112,129.049676,430
창원단감테마공원,,35.29915488,128.6632468,49000
창원의집,,35.24444959,128.6813533,10209
해인사 소리길,경상남도 합천군 가야면 구원리 산9-5,35.76749785,128.1365362,930365
거제자연휴양림,,34.785638,128.625982,1200000
계도어촌체험마을,,34.97483877,128.517509,516.32
다대어촌체험마을,경상남도 거제시 남부면 다대리 424,34.73449905,128.630541,6143.9
도장포어촌체험마을,,34.743422,128.6624617,928.12
대한민국술테마박물관,,35.72601868,127.136162,61594
무궁화오토캠핑장,,35.97398132,127.2315513,4664
놀토피아,,35.98879491,127.261342,397
오성한옥마을,,35.90695186,127.2367573,13856
완주전통문화체험장,,35.98879491,127.261342,1215
청소년전통문화체험관,,35.98879491,127.261342,2768
해인사,경상남도 합천군 가야면 치인리 10,35.801504,128.0976255,84227
대장경테마파크,경상남도 합천군 가야면 야천리 943,35.76749785,128.1365362,86402
예천포리관광지,경상북도 예천군 감천면 포리 688,36.70015808,128.514204,210241
회상나루관광지,경상북도 상주시 중동면 회상리 764,36.44187503,128.2657793,165000
이바구공작소,부산광역시 동구 초량동 875-2,35.11709964,129.0338233,265.77
장기려더나눔센터,부산광역시 동구 초량동 856-31,35.11853593,129.0326526,383.05
평택호관광단지,경기도 평택시 현덕면 권관리 551-3,36.9148246,126.912951,2743000
가우도,,34.53639075,126.791046,3000
