역번호,역사명,노선번호,노선명,역위도(y좌표),역경도(x좌표),역사도로명주소
413,교대역,k0211,동해선,37.492975,127.013814,부산광역시 연제구 거제동 42-3
233,대림,S1102,서울 도시철도 2호선,37.49307207,126.8957105,서울 구로구 구로6동 125-66
2746,대림,S1107,서울 도시철도 7호선,37.49307207,126.8959105,서울특별시 영등포구 도림로 지하137
2560,거여,S1105,서울 도시철도 5호선,37.49316744,127.1436672,서울특별시 송파구 오금로 지하499(거여동)
223,교대,S1102,서울 도시철도 2호선,37.49320061,127.0142237,서울특별시 서초구 서초대로 지하 294 (서초동)
330,교대,S1103,서울 도시철도 3호선,37.49320061,127.0140237,서울특별시 서초구 서초대로 지하 294 (서초동)
337,대청,S1103,서울 도시철도 3호선,37.49346096,127.079515,서울특별시 강남구 일원로 지하 2 (일원동)
3215,인천가좌,S2802,인천지하철 2호선,37.493762,126.675465,인천광역시 서구 가석로 67 (가좌동)
335,대치,S1103,서울 도시철도 3호선,37.4942795,127.0632665,서울특별시 강남구 남부순환로 지하 2952 (대치동)
144,오류동역,k0301,경인선,37.4944,126.844551,서울시 구로구 경인로 20길 13
143,개봉역,k0301,경인선,37.494698,126.858504,서울시 구로구 경인로 40길 47
2561,마천,S1105,서울 도시철도 5호선,37.49495884,127.152476,서울특별시 송파구 마천로57길 지하7(마천동)
341,경찰병원,S1103,서울 도시철도 3호선,37.49576539,127.1242996,서울특별시 송파구 중대로 지하 149 (가락동)
2740,숭실대입구,S1107,서울 도시철도 7호선,37.4961804,126.9534722,서울특별시 동작구 상도로 지하 378
216,한티역,k0304,분당선,37.496208,127.052883,서울시 강남구 선릉로 지하 228
142,구일역,k0301,경인선,37.496273,126.869599,서울시 구로구 구일로 133
336,학여울,S1103,서울 도시철도 3호선,37.49655351,127.0713676,서울특별시 강남구 남부순환로 지하 3104 (대치동)
222,강남,S1102,서울 도시철도 2호선,37.49720244,127.0280537,서울특별시 강남구 강남대로 지하 396 (역삼동)
2559,개롱,S1105,서울 도시철도 5호선,37.49782678,127.1348328,서울특별시 송파구 오금로 지하402 (가락동)
3119,부평시장,S2801,인천지하철 1호선,37.498495,126.722282,인천광역시 부평구 부평대로 69
2743,신대방삼거리,S1107,서울 도시철도 7호선,37.49968797,126.9280519,서울특별시 동작구 상도로 지하76 (대방동)
2817,송파,S1108,서울 도시철도 8호선,37.4997227,127.1118647,서울특별시 송파구 송파대로 지하354 (가락동)
2744,보라매,S1107,서울 도시철도 7호선,37.49989004,126.9203052,서울특별시 동작구 상도로 지하2(대방동)
2745,신풍,S1107,서울 도시철도 7호선,37.50008919,126.9098598,서울특별시 영등포구 신풍로 지하27(신길동)
3214,서부여성회관,S2802,인천지하철 2호선,37.500298,126.675875,인천광역시 서구 가석로 169 (석남동)
221,역삼,S1102,서울 도시철도 2호선,37.50054496,127.0363944,서울특별시 강남구 테헤란로 지하 156 (역삼동)
2558,오금,S1105,서울 도시철도 5호선,37.50196105,127.1277379,서울특별시 송파구 오금로 지하 321 (오금동)
4132,석촌고분,S1109,서울 도시철도 9호선,37.50202826,127.0966224,서울특별시 송파구 삼학사로 53
342,오금,S1103,서울 도시철도 3호선,37.50216539,127.1278996,서울특별시 송파구 오금로 지하 321 (오금동)
2741,상도,S1107,서울 도시철도 7호선,37.50285237,126.9477417,서울특별시 동작구 상도로 지하272(상도1동)
431,동작,S1104,서울 도시철도 4호선,37.50300413,126.9790224,서울특별시 동작구 현충로 257 (동작동)
2756,신중동,S1107,서울 도시철도 7호선,37.50308369,126.776328,경기도 부천시 길주로 314
123,구리역,k0212,경의중앙선,37.503178,126.882037,경기도 구리시 건원대로 34번길 32-29(인창동 244-2)
141,구로역,k0201,경부선,37.503178,126.882037,서울시 구로구 구로중앙로 174
2755,춘의,S1107,서울 도시철도 7호선,37.50372821,126.7868467,경기도 부천시 길주로 지하 406
329,고속터미널,S1103,서울 도시철도 3호선,37.50436623,127.0049403,서울특별시 서초구 신반포로 지하 188 (반포동)
2736,고속터미널,S1107,서울 도시철도 7호선,37.50436623,127.0045403,서울특별시 서초구 신반포로 지하 188 (반포동)
220,선릉,S1102,서울 도시철도 2호선,37.50437895,127.0486966,서울특별시 강남구 테헤란로 지하 340 (삼성동)
215,선릉역,k0304,분당선,37.504479,127.048941,서울시 강남구 테헤란로 지하 340
2757,부천시청,S1107,서울 도시철도 7호선,37.50454132,126.7637332,경기도 부천시 길주로 202
4131,삼전,S1109,서울 도시철도 9호선,37.50474464,127.0877814,서울특별시 송파구 백제고분로 187
2742,장승배기,S1107,서울 도시철도 7호선,37.50482108,126.9388623,서울특별시 동작구 상도로 지하188(상도동)
2816,석촌,S1108,서울 도시철도 8호선,37.50535113,127.1069303,서울특별시 송파구 송파대로 지하439(석촌동)
2754,부천종합운동장,S1107,서울 도시철도 7호선,37.50544153,126.7972468,경기도 부천시 길주로 지하 502
2758,상동,S1107,서울 도시철도 7호선,37.50570416,126.7529908,경기도 부천시 길주로 104
4133,석촌,S1109,서울 도시철도 9호선,37.50594926,127.1063458,서울특별시 송파구 송파대로 439
134,오빈역,k0212,경의중앙선,37.506061,127.474053,경기도 양평군 양평읍 덕바위길 29번길
2753,까치울,S1107,서울 도시철도 7호선,37.50632983,126.8113309,경기도 부천시 길주로 626
2759,삼산체육관,S1107,서울 도시철도 7호선,37.50636043,126.7417749,인천광역시 부평구 길주로 지하713 (삼산동)
2760,굴포천,S1107,서울 도시철도 7호선,37.50708334,126.7311071,인천광역시 부평구 길주로 지하623 (삼산동)
3213,석남(거북시장),S2802,인천지하철 2호선,37.507211,126.676304,인천광역시 서구 가석로 257 (석남동)
4126,언주,S1109,서울 도시철도 9호선,37.50744596,127.0342849,서울특별시 강남구 봉은사로 지하 201
2761,부평구청,S1107,서울 도시철도 7호선,37.50795782,126.7211284,인천광역시 부평구 길주로 지하527(갈산동)
2735,반포,S1107,서울 도시철도 7호선,37.50820769,127.011532,서울특별시 서초구 신반포로 지하241(잠원동)
2557,방이,S1105,서울 도시철도 5호선,37.50865738,127.1260716,서울특별시 송파구 양재대로 지하1127 (방이동)
219,삼성,S1102,서울 도시철도 2호선,37.5086936,127.063165,서울특별시 강남구 테헤란로 지하 538 (삼성동)
234,신도림,S1102,서울 도시철도 2호선,37.50874994,126.8912511,서울특별시 구로구 새말로 지하 117-21 (신도림동)
3118,부평구청,S2801,인천지하철 1호선,37.508768,126.720547,인천광역시 부평구 부평대로 189
140,신도림역,k0201,경부선,37.508983,126.891513,서울시 구로구 새말로 117-21
4134,송파나루,S1109,서울 도시철도 9호선,37.51012026,127.1131234,서울특별시 송파구 오금로 165
