공원명,소재지지번주소,위도,경도,공원면적
동부 105호 어린이공원(신촌지구),경기도 평택시 칠원동 393-4,37.02635905,127.1094688,4053
동부 106호 어린이공원(신촌지구),경기도 평택시 칠원동 388-4,37.02464272,127.109529,5143
두릉이주 어린이공원,경기도 평택시 고덕면 두릉리 797-1,37.06340909,127.0276508,1872.8
둥실봉 어린이공원,경기도 평택시 지산동 1260,37.08268921,127.0686033,4205
방아다리 어린이공원(장당 2호),경기도 평택시 장당동 632-1,37.05137317,127.0618533,2500.1
서재초 어린이공원(동삭2지구),,37.01824861,127.1039663,3410
서정 어린이공원,경기도 평택시 서정동 786,37.06990338,127.0556928,1652.2
소공원,경기도 용인시 처인구 백암면 근창리 101-8번지일원,37.163501,127.369301,807
소공원,경기도 용인시 처인구 역북동 385-5번지 일원,37.239001,127.191601,391
소공원,경기도 용인시 기흥구 구갈동 403-2번지 일원,37.276601,127.110801,658
보정제3호 어린이공원(독정),경기도 용인시 기흥구 보정동 1235번지,37.319501,127.121001,3363
보정제4호 어린이공원(죽현),경기도 용인시 기흥구 보정동 1270번지,37.319001,127.112001,2703
보정제5호 어린이공원(포솔),경기도 용인시 기흥구 보정동 1284번지,37.311701,127.116001,1672
제48호 근린공원(강남근린공원),경기도 용인시 기흥구 구갈동 598번지,37.273201,127.132501,189796
제51호 어린이공원(하늘채),경기도 용인시 기흥구 구갈동 549번지,37.278101,127.129401,1615
제52호 어린이공원(갈곡),경기도 용인시 기흥구 구갈동 584번지,37.271801,127.129701,1501
제53호 어린이공원(강남),경기도 용인시 기흥구 구갈동 602번지,37.269901,127.130401,1500
서천4근린공원,경기도 용인시 기흥구 서천동 820번지,37.235301,127.077601,51385
마평어린이공원,경기도 용인시 처인구 마평동 758-3번지,37.235001,127.216201,3670
제74호 어린이공원,경기도 용인시 처인구 역북동 632-50번지,37.239001,127.187001,3389
29호 어린이공원(서정동),,37.07130358,127.0483355,6117
2호 어린이공원(여염리),경기도 평택시 고덕면 여염리 326-4,37.03956822,127.0450556,2072
"30호 어린이공원(고덕국제화지구, 율포리)",경기도 평택시 고덕면 율포리 184-6,37.04592772,127.0312623,2098
"31호 어린이공원(고덕국제화지구,(좌교리)",경기도 평택시 고덕면 좌교리 270,37.04066927,127.0295275,4674
"32호 어린이공원(고덕국제화지구, 해창리)",경기도 평택시 고덕면 해창리 15-2,37.03223703,127.0228921,2280
"33호 어린이공원(고덕국제화지구, 해창리)",경기도 평택시 고덕면 해창리 733-27,37.02621179,127.0168969,2258
36호 어린이공원(여염리),경기도 평택시 고덕면 여염리 296-2,37.04193939,127.0488479,1864
37호 어린이공원(장당동),,37.04953879,127.0444185,2134
38호 어린이공원(서정동),,37.0513085,127.044442,1625
39호 어린이공원(서정동),,37.06366607,127.0484161,1509
"40호 어린이공원고덕국제화지구,(두릉리)",경기도 평택시 고덕면 두릉리 산42,37.05857873,127.0285607,1522
"41호 어린이공원(고덕국제화지구,두릉리)",경기도 평택시 고덕면 두릉리 631-1,37.05565324,127.0252635,2182
"42호 어린이공원(고덕국제화지구,두릉리)",경기도 평택시 고덕면 두릉리 593-4,37.05562067,127.0230151,2345
"43호 어린이공원(고덕국제화지구,해창리)",경기도 평택시 고덕면 해창리 490-2,37.04269801,127.0148063,1511
"44호 어린이공원(고덕국제화지구,율포리)",경기도 평택시 고덕면 율포리 438-11,37.04740275,127.0306289,2369
"45호 어린이공원(고덕국제화지구,율포리)",경기도 평택시 고덕면 율포리 376,37.05029974,127.0341068,1868
"46호 어린이공원(고덕국제화지구, 해창리)",경기도 평택시 고덕면 해창리 61-1,37.03123707,127.0318443,1857
"47호 어린이공원(고덕국제화지구 ,당현리)",경기도 평택시 고덕면 당현리 524-2,37.06469678,127.0318636,9166
"48호 어린이공원(고덕국제화지구,율포리)",경기도 평택시 고덕면 율포리 480,37.04968809,127.0250914,8114
49호 어린이공원(율포리),경기도 평택시 고덕면 율포리 106,37.04294596,127.0423416,9077
"50호 어린이공원(고덕국제화지구, 해창리)",경기도 평택시 고덕면 해창리 382,37.03671078,127.0232775,6614
8호 어린이공원(서정동),,37.0513085,127.044442,2542
9호 어린이공원(서정동),,37.06299865,127.0499088,5638
건지 어린이공원,경기도 평택시 지산동 1136,37.07704464,127.0661829,1616.7
제59호 어린이공원,경상남도 창원시 마산회원구 내서읍 삼계리 1번지 일원,35.238024,128.502868,5590
제61호 어린이공원,경상남도 창원시 마산회원구 내서읍 삼계리 504-5번지 일원,35.231138,128.495093,2417
제62호 어린이공원,경상남도 창원시 마산회원구 내서읍 삼계리 507-9번지 일원,35.227679,128.496479,1629
제63호 어린이공원,경상남도 창원시 마산회원구 내서읍 삼계리 508-2번지 일원,35.230029,128.498656,2163
제71호 어린이공원,경상남도 창원시 마산회원구 양덕동 84-7번지 일원,35.224652,128.582203,12432
제72호 어린이공원,경상남도 창원시 마산회원구 양덕동 84-2번지 일원,35.228863,128.582044,3839
제87호 어린이공원,경상남도 창원시 마산회원구 석전동 240-3번지 일원,35.233043,128.574783,1536
제11호 어린이공원,경상남도 창원시 마산회원구 회원동 390-22번지 일원,35.219794,128.567547,1500
제86호 어린이공원,경상남도 창원시 마산회원구 합성동 60-2번지 일원,35.246446,128.589086,4986
10호 소공원,경상남도 창원시 마산회원구 석전동 137-53번지 일원,35.228787,128.569447,666
11호 소공원,경상남도 창원시 마산회원구 석전동 137-55번지 일원,35.228655,128.569385,2545
12호 소공원,경상남도 창원시 마산회원구 석전동 146-63번지 일원,35.226759,128.570231,1629
13호 소공원,경상남도 창원시 마산회원구 석전동 149-28번지 일원,35.226845,128.571761,254
15호 소공원,경상남도 창원시 마산회원구 회원동 597-8번지 일원,35.217408,128.564772,2845
16호 소공원,경상남도 창원시 마산회원구 회원동 566,35.218161,128.5651538,2767
17호 소공원,경상남도 창원시 마산회원구 회원동 355-57번지 일원,35.218996,128.569519,2453
18호 소공원,경상남도 창원시 마산회원구 회원동 214-19번지 일원,35.223143,128.570443,2000
"14호 어린이공원(고덕국제화지구, 두릉리)",경기도 평택시 고덕면 두릉리 529-1,37.05554306,127.0172382,1770
"17호 어린이공원(고덕국제화지구,좌교리)",경기도 평택시 고덕면 좌교리 399-1,37.04411801,127.0136424,4449
"18호 어린이공원(고덕국제화지구,해창리)",경기도 평택시 고덕면 해창리 485-1,37.041606,127.0140598,3888
"20호 어린이공원(고덕국제화지구, 해창리)",경기도 평택시 고덕면 해창리 437-1,37.03690342,127.0179342,1520
25호 어린이공원(여염리),경기도 평택시 고덕면 여염리 산60,37.03759162,127.0461787,3378
26호 어린이공원(서정동),경기도 평택시 서정동 산1-5,37.07149576,127.0651452,1853
27호 어린이공원(율포리),경기도 평택시 고덕면 율포리 334-2,37.05133338,127.0410193,3898
28호 어린이공원(서정동),경기도 평택시 고덕면 여염리 산350 (여염리 4120-7),37.06553235,127.0438252,2049
학동공원,서울특별시 강남구 논현동 263-23,37.511646,127.0387639,1498.5
신사은행나무공원,서울특별시 강남구 신사동 558,37.521114,127.021627,1240.1
신사목련공원,서울특별시 강남구 신사동 567-37,37.522898,127.017064,1001.1
신사무궁화공원,서울특별시 강남구 신사동 625-5,37.524131,,1641.8
신사까치공원,서울특별시 강남구 신사동 597,,127.020466,992.9
신사개나리공원,서울특별시 강남구 신사동 609-2,37.526208,127.027304,991.3
압구정목련공원,서울특별시 강남구 압구정동 466,37.53268534,127.0322088,2027.2
압구정은행나무공원,서울특별시 강남구 압구정동 459,37.530689,127.022677,2547.4
삼성목련공원,서울특별시 강남구 삼성동 55-1,37.518515,127.045196,1641.4
삼성까치공원,서울특별시 강남구 삼성동 85,37.518324,127.051865,1462.9
청담은행나무공원,서울특별시 강남구 청담동 94-4,37.525154,127.0442417,1643.8
청담목련공원,서울특별시 강남구 청담동 51,37.522979,127.041076,1642.1
도곡까치공원,서울특별시 강남구 도곡동 455,37.483326,127.0451093,1793.8
도곡목련공원,서울특별시 강남구 도곡동 415-3,37.484915,,1709.2
역삼장미공원,서울특별시 강남구 역삼동 780-25,37.495327,127.035846,1636.6
역삼까치공원,서울특별시 강남구 역삼동 824-10 외1필지,37.497225,127.021971,987.2
역삼무궁화공원,서울특별시 강남구 역삼동 830-23,37.493835,127.032209,991.5
역삼개나리공원,서울특별시 강남구 역삼동 739-15,37.497571,127.0362551,1635
역삼소나무공원,서울특별시 강남구 역삼동 836-21,37.490961,127.024931,987.3
역삼은행나무공원,서울특별시 강남구 역삼동 611,37.505409,,1647.1
대치목련공원,서울특별시 강남구 대치동 929-10,37.49982553,127.0581713,1649.1
대치까치공원,서울특별시 강남구 대치동 1014-4,37.496941,127.058458,992.2
대치은행나무공원,서울특별시 강남구 대치동 899-25,37.501649,127.0515319,1618.7
개포까치공원,서울특별시 강남구 개포동 169-3,37.48370515,127.0608782,1690.2
개포공원,서울특별시 강남구 개포동 190,37.485235,127.067125,4793.8
개포개나리공원,서울특별시 강남구 개포동 190,37.485235,127.067125,1500.6
개포은행나무공원,서울특별시 강남구 개포동 1220,37.47602964,127.0492625,1641.7
개포목련공원,서울특별시 강남구 개포동 1176,37.474238,127.043675,1639.1
일원은행나무공원,서울특별시 강남구 일원동 615-2,37.492002,127.068214,1500.3
공원-115,전라남도 담양군 담양읍 지침리 84-6,35.31779248,126.9843974,1314
길섶근린공원,서울특별시 강남구 역삼동 757-1,37.498081,127.046708,1580.6
매봉근린공원,서울특별시 강남구 도곡동 527-7,37.492589,127.045762,6146.9
봉은근린공원,서울특별시 강남구 역삼동 754-4,37.498247,127.047136,1147.7
배꽃근린공원,서울특별시 강남구 삼성동 11-3,37.516663,127.040299,1592.9
반달근린공원,서울특별시 강남구 삼성동 7-4,,127.040616,679.3
샘터근린공원,서울특별시 강남구 삼성동 16-4,37.514379,127.060169,1799.5
학봉근린공원,서울특별시 강남구 삼성동 50-3,,127.053987,1343
큰골근린공원,서울특별시 강남구 대치동 888-3,37.494313,,1688.1
새뜰근린공원,서울특별시 강남구 역삼동 765-30,37.497183,127.046607,427.6
수서제2근린공원,서울특별시 강남구 수서동 749 외 1필지,,127.084338,44587.5
수서택지개발(대모산부근),서울특별시 강남구 일원동 732-3 외 4필지,,127.076069,11588.6
수서택지개발(광평부근),서울특별시 강남구 수서동 737-1 외 11필지,37.487307,127.092754,7569.1
세곡동 근린공원1,서울특별시 강남구 세곡동 525-1,37.474676,,10310.4
세곡공원,서울특별시 강남구 세곡동 산50 외 65필지,37.469014,127.104715,101513
돌산공원,서울특별시 강남구 세곡동 산1 외 32필지,,127.107458,98417
광평공원,서울특별시 강남구 수서동 산10-1 외 59필지,37.485867,127.083389,519782
압구정 428,서울특별시 강남구 압구정 428,37.527425,127.021936,13968.3
봉은역사공원,서울특별시 강남구 삼성동 75 외 4필지,37.513888,127.046723,75635.7
역삼문화공원,서울특별시 강남구 역삼동 635 외 1필지,37.502655,127.025932,33974.9
다솜소공원,서울특별시 강남구 역삼동 763-18,37.496998,127.039348,604.1
도곡단비소공원,서울특별시 강남구 도곡동 539-6,37.493903,127.046942,896.5
도곡동 426-9(로덴하우스)소공원,서울특별시 강남구 도곡동 462-9,37.485319,127.046753,80
역삼나들이소공원,서울특별시 강남구 역삼동 716-5,37.500748,127.050364,650
아크로힐스소공원,서울특별시 강남구 논현동 276-2,,127.039492,800
논현까치공원,서울특별시 강남구 논현동 162-11,37.509026,127.020792,956.7
논현목련공원,서울특별시 강남구 논현동 137-18,37.510851,127.017942,986
논현은행나무공원,서울특별시 강남구 논현동 47-13,37.512617,127.013669,1014.5
논현개나리공원,서울특별시 강남구 논현동 150-5,37.51122564,127.0300758,1652.9
논현무궁화공원,서울특별시 강남구 논현동 205-7,37.506648,127.021935,1879.7
논현소나무공원,서울특별시 강남구 논현동 239,37.515685,127.035281,1819.9
공원-114,전라남도 담양군 금성면 금성리 501-1,35.36983775,127.0416224,3122
대청근린공원,서울특별시 강남구 일원동 621,37.49319912,127.0830019,14089.1
늘푸른근린공원,서울특별시 강남구 일원동 690,37.489885,127.077436,11410.3
개포서근린공원,서울특별시 강남구 개포동 180 외 2필지,37.488628,127.064142,11219.2
개포동근린공원,서울특별시 강남구 개포동 182-1 외 2필지,37.489686,127.059526,9705.6
대치근린공원,서울특별시 강남구 대치동 512,37.495123,127.061109,10408.9
늘벗근린공원,서울특별시 강남구 대치동 501,37.489623,127.048394,19812.3
독골근린공원,서울특별시 강남구 도곡동 461,37.484552,127.0468249,10022.9
포이근린공원,서울특별시 강남구 개포동 1239-21 외 5필지,37.479681,127.036037,16811.4
청룡근린공원,서울특별시 강남구 개포동 649-1,37.485594,127.045605,9367
배밭근린공원,서울특별시 강남구 개포동 181 외 1필지,37.488738,127.053642,11627.2
학여울근린공원,서울특별시 강남구 개포동 183-1 외 1필지,37.491018,127.059561,12505.6
청수근린공원,서울특별시 강남구 청담동 134-13 외 12필지,37.523249,127.049676,17402
청담근린공원,서울특별시 강남구 청담동 66 외 4필지,37.520727,127.035334,59347
한티근린공원,서울특별시 강남구 대치동 212-1 외 13필지,37.494917,127.053606,19200
개포근린공원,서울특별시 강남구 개포동 139,37.4830336,127.063861,90063.9
달터근린공원,서울특별시 강남구 개포동 156 외 23필지,37.485434,127.052354,232078.2
대진근린공원,서울특별시 강남구 개포동 13-1,37.496049,127.0788531,13568.4
탄천근린공원,서울특별시 강남구 수서동 722,37.487436,,10011
한솔근린공원,서울특별시 강남구 일원동 732,37.480936,127.069411,12878.4
학동근린공원,서울특별시 강남구 논현동 26,37.515548,127.0251861,29947
삼성은행나무근린공원,서울특별시 강남구 삼성동 14 외 1필지,37.516489,127.036994,1500
도곡근린공원,서울특별시 강남구 도곡동 산31-1 외 193필지,,127.041861,254648
싸리고개근린공원,서울특별시 강남구 도곡동 550 외 5필지,37.489953,,15072.5
갈매기근린공원,서울특별시 강남구 압구정동 480,37.531496,127.030123,7732
도성근린공원,서울특별시 강남구 역삼동 713-15 외 1필지,37.500748,127.044485,1988.8
송운근린공원,서울특별시 강남구 역삼동 755-9,37.499848,127.044636,1175
언주근린공원,서울특별시 강남구 역삼동 754-7 외 1필지,37.499059,127.043268,1110.8
영동근린공원,서울특별시 강남구 역삼동 755-7,,127.046352,1293.6
도산근린공원,서울특별시 강남구 신사동 649-9,37.523911,127.0356032,29816.5
공원-113,전라남도 담양군 고서면 보촌리 136-1,35.22180146,126.964355,5458
일원개나리공원,서울특별시 강남구 일원동 730-3,37.482993,127.067728,4453.6
일원느티나무공원,서울특별시 강남구 일원동 730-2,37.483047,127.068692,1825.7
일원소나무공원,서울특별시 강남구 일원동 718-1,37.484061,127.073013,1500.6
일원상록수공원,서울특별시 강남구 일원동 734-1,37.482102,,1500.4
일원비둘기공원,서울특별시 강남구 일원동 735-1,,,1501
일원진달래공원,서울특별시 강남구 일원동 716-1,37.484753,127.075966,1500.1
일원새싹공원,서울특별시 강남구 수서동 746-1,37.484772,,1500.2
