순번,학제,학교명,주소,X,Y
193,대학교,영산대학교,"부산광역시 해운대구 반송순환로 142 (반송동, 영산대학교해운대캠퍼스)",129.1567248,35.2238391
194,대학교,대전신학대학교,"대전광역시 대덕구 한남로 41 (오정동, 대전신학대학교)",127.4236504,36.3500141
195,대학교,중원대학교,"충청북도 괴산군 괴산읍 문무로 85 (동부리, 중원대학교)",127.7982176,36.8188598
196,대학교,우송대학교(본교),"대전광역시 동구 동대전로 171 (자양동, 우송정보대학,우송대서캠퍼스)",127.4451992,36.3372012
197,대학교,김천대학교,"경상북도 김천시 대학로 214 (삼락동, 김천대학교)",128.0795801,36.1384512
198,대학교,한려대학교,"전라남도 광양시 광양읍 한려대길 94-13 (덕례리, 한려대학교)",127.5639602,34.9564625
199,대학교,송원대학교,"광주광역시 남구 송암로 73 (송하동, 송원대학)",126.8729874,35.1110144
200,대학교,경운대학교,"경상북도 구미시 산동면 강동로 730 (인덕리, 경운대학교)",128.4679747,36.1699915
201,대학교,남서울대학교,"충청남도 천안시 서북구 성환읍 대학로 91 (매주리, 남서울대학교)",127.1434158,36.9109905
202,대학교,초당대학교,"전라남도 무안군 무안읍 무안로 380 (성남리, 초당대학교)",126.474213,34.9779926
203,대학교,한국산업기술대학교,"경기도 시흥시 산기대학로 237 (정왕동, 한국산업기술대학교)",126.7335278,37.3404507
204,대학교,제주국제대학교,제주특별자치도 제주시 516로 2870 (영평동),126.5698191,33.440796
205,대학교,창신대학교,"경상남도 창원시 마산회원구 팔용로 262 (합성동, 창신대학)",128.5997672,35.2441413
206,대학교,신한대학교,"경기도 동두천시 벌마들로40번길 30 (상패동, 신한대학교)",127.0346777,37.9046883
207,대학교,신한대학교,"경기도 의정부시 호암로 95 (호원동, 신한대학교)",127.0450825,37.7097776
208,대학교,울산과학기술원,"울산광역시 울주군 언양읍 유니스트길 50 (반연리, 울산과학기술대학교)",129.188891,35.5749956
209,교육대학,공주교육대학교,"충청남도 공주시 웅진로 27 (봉황동, 공주교육대학교)",127.1191364,36.4444079
210,교육대학,광주교육대학교,"광주광역시 북구 필문대로 55 (풍향동, 광주교육대학교)",126.9264876,35.1651777
211,교육대학,대구교육대학교,"대구광역시 남구 중앙대로 219 (대명동, 대구교육대학교)",128.5888808,35.852418
212,교육대학,부산교육대학교,"부산광역시 연제구 교대로 24 (거제동, 부산교육대학교)",129.0763812,35.1945373
213,교육대학,서울교육대학교,"서울특별시 서초구 서초중앙로 96 (서초동, 서울교육대학교,서울교대초등학교)",127.0158069,37.4899819
214,교육대학,경인교육대학교,"인천광역시 계양구 계산로 62 (계산동, 경인교육대학교)",126.717038,37.5378066
215,교육대학,경인교육대학교,"경기도 안양시 만안구 삼막로 155 (석수동, 경인교육대학교)",126.9175341,37.4339962
