번호,사업장명,도로명전체주소,소재지면적,X,Y
2771,홈플러스 진주점,경상남도 진주시 대신로 181-1 (하대동),10708.3,128.1174641,35.1766379
2772,(주)이마트 진주점,경상남도 진주시 진양호로 477 (인사동),11028,128.0773942,35.1915799
2779,트레이더스 양산점,경상남도 양산시 평산로 16 (평산동),8027.66,129.1527522,35.3822454
2786,롯데쇼핑(주) 롯데마트 웅상점,경상남도 양산시 삼호1길 34 (삼호동),8595.08,129.166969,35.4126013
2799,(주)이마트 양산점,경상남도 양산시 양산역6길 12 (중부동),10936,129.0263775,35.3367847
2811,홈플러스 진주점,"경상남도 진주시 대신로 304, 홈플러스 (상대동)",10703,128.1177104,35.187563
2817,영주농협 파머스마켓,경상북도 영주시 구성로 25 (조암동),3514,128.6316081,36.7956083
2821,(주)이마트 동구미점,경상북도 구미시 이계북로 23 (임수동),12976.74,128.4040775,36.1063501
2825,홈플러스(주) 구미점,"경상북도 구미시 구미대로 174, 홈플러스 구미광평점 (광평동)",15376,128.3637324,36.1027841
2826,(주)이마트 구미점,경상북도 구미시 구미대로 256 (광평동),9551.12,128.3649073,36.1094861
2849,홈플러스(주) 동광주점,광주광역시 북구 동문대로 200 (두암동),15111,126.9304714,35.1794818
2863,롯데쇼핑(주)롯데마트 월드컵점,광주광역시 서구 금화로 240 (풍암동),13031,126.8768053,35.1333501
2893,(주)이마트 여의도점,서울특별시 영등포구 여의동로3길 10 (여의도동),3536.87,126.9256749,37.5181381
2909,롯데쇼핑(주) VIC마켓 영등포점,서울특별시 영등포구 영중로 125 (영등포동8가),12066.16,126.9046851,37.5278207
2929,롯데쇼핑(주) 롯데마트 양평점,서울특별시 영등포구 선유로 138 (양평동3가),18016.52,126.8915759,37.5260675
2933,코스트코 홀세일,서울특별시 영등포구 선유로 156 (양평동3가),8724.73,126.8921404,37.5276766
2935,홈플러스(주) 영등포점,서울특별시 영등포구  당산로  42 (문래동3가),35687.74,126.8958885,37.5182418
2937,(주)이마트 목동점,서울특별시 양천구 오목로 299 (목동),14074.76,126.8707163,37.5259239
2951,홈플러스(주)목동점,서울특별시 양천구 목동서로 170 (목동),19765.04,126.8733097,37.5302646
2982,(주)이마트 은평점,서울특별시 은평구 은평로 111 (응암동),16105.48,126.9201903,37.6003614
2983,(주)이마트 수색점,서울특별시 은평구 수색로 217 (수색동),6881.2,126.8986297,37.5795196
3002,(주)이마트 왕십리점,서울특별시 성동구 왕십리광장로 17 (행당동),11573,127.0384274,37.5592604
3024,코스트코홀세일 상봉점,서울특별시 중랑구 망우로 336 (상봉동),9776.28,127.0903066,37.5968756
3026,홈플러스(주) 서울 상봉점,"서울특별시 망우로 353-0 (상봉동, 프레미어스 엠코)",22618.65,126.9778779,37.5664106
3027,주식회사 이마트 묵동점,서울특별시 중랑구 동일로 932 (묵동),5100.83,127.0775805,37.6141128
3028,주식회사 이마트 상봉점,서울특별시 중랑구 상봉로 118 (망우동),9961.6,127.0935726,37.5964953
3030,홈플러스 신내점,서울특별시 중랑구 신내로 201 (신내동),11101,127.0937458,37.6158239
3047,롯데쇼핑(주) 롯데마트제주점,"제주특별자치도 제주시 연북로 1 (노형동,외 2필지)",11235.53,126.4818686,33.4824306
3048,(주)신세계 이마트 신제주점,제주특별자치도 제주시 1100로 3348 (노형동),8014,126.4804364,33.4849644
3049,(주)이마트 제주점,제주특별자치도 제주시 탑동로 38 (삼도이동),8014.22,126.5211907,33.517986
3071,(주)이마트 신제주점,제주특별자치도 제주시 1100로 3348 (노형동),7148.4,126.4804364,33.4849644
3075,롯데쇼핑(주) 롯데마트 여천점,전라남도 여수시 무선로 187 (선원동),7900,127.6514601,34.7768463
3076,(주)이마트여수점,전라남도 여수시 좌수영로 277 (오림동),8991,127.7149703,34.7579539
3079,롯데쇼핑(주) 롯데몰 여수점,"전라남도 여수시 국포1로 36 (국동, 외 4필지)",14477,127.7214925,34.7283368
3082,롯데쇼핑(주) 롯데마트 나주점,전라남도 나주시 내동길 15 (송월동),3464.47,126.7128903,35.0132524
3085,(주)이마트목포점,전라남도 목포시 옥암로 138 (옥암동),10629.42,126.4252103,34.8116248
3087,롯데쇼핑(주) 롯데마트목포점,전라남도 목포시 원형서로 15 (상동),10361.1,126.4294291,34.7972123
3101,홈플러스(주) 목포점,전라남도 목포시 영산로 313 (용당동),13780.4,126.3997027,34.8059559
3107,홈플러스 광양점,전라남도 광양시 항만11로 70 (중동),13558.2,127.6941432,34.9284818
3133,홈플러스(주)순천풍덕점,전라남도 순천시  팔마로  222 (풍덕동),16224.04,127.5087536,34.9399263
3135,뉴코아순천아울렛킴스,전라남도 순천시 비봉2길 4-12 (조례동),7061.29,127.5216867,34.9730705
3136,순천원예농협 하나로마트,전라남도 순천시 남산로 46 (남정동),416.63,127.4927001,34.9389499
3143,(주)이마트 순천점,"전라남도 순천시 팔마로 191 (덕암동,외 4필지)",9507.52,127.5084313,34.9425663
3144,홈플러스(주) 순천점,"전라남도 순천시 신월큰길 10 (조례동,외 39필지)",1489,127.5203431,34.961211
3152,김천농협 하나로마트,경상북도 김천시 자산로 147 (평화동),3679,128.1177032,36.1236116
3157,(주)이마트 김천점,경상북도 김천시 시청로 75 (신음동),6318,128.1168313,36.1349326
3160,홈플러스(주)경주점,경상북도 경주시  공단로  97 (용강동),3144.51,129.2245406,35.8735509
3161,홈플러스 경산점,경상북도 경산시 경안로 288 (중방동),23380.29,128.7356464,35.8328258
3165,(주)이마트경산점,경상북도 옥산로 227,15129,128.710415,36.5045828
3224,이마트 하월곡점,"서울특별시 성북구 종암로 167,  동 (하월곡동)",19201,127.0310261,37.6046122
3225,홈플러스 월곡점,"서울특별시 성북구 화랑로 76 (하월곡동, 코업스타클래스)",17817,127.04045,37.601869
3226,이마트 미아점,"서울특별시 성북구 도봉로 17, 신세계 이마트 미아점 (길음동)",10006,127.0296196,37.6108809
3229,이마트 미아점,서울특별시 성북구  도봉로  17 (길음동),18964,127.0296196,37.6108809
3241,이마트 하월곡점,"서울특별시 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티아파트)",10745,127.0310261,37.6046122
3242,이마트 미아점,서울특별시 성북구 도봉로 17 (길음동),10006,127.0296196,37.6108809
3258,(주)이마트 서귀포점,"제주특별자치도 서귀포시 일주동로 9209 (법환동,외 21필지)",7537.19,126.5091172,33.2483316
3259,홈플러스(주) 서귀포점,제주특별자치도 서귀포시 중앙로 180 (동홍동),6441,126.5602045,33.2607266
3269,롯데쇼핑(주) 롯데마트 남원점,전라북도 춘향로 96,8288.38,127.1086961,35.8204789
3272,롯데쇼핑(주) 롯데마트 정읍점,"전라북도 정읍시 벚꽃로 85 (농소동,외 15필지)",11219.01,126.839809,35.5793041
3291,(주) 이마트 통영점,경상남도 통영시 광도면 죽림4로 9,8958.72,128.4176442,34.887015
3292,롯데쇼핑(주)롯데마트통영점,경상남도 통영시 무전대로 65 (무전동),8638.05,128.4282177,34.8605921
3300,(주)이마트영천점,경상북도 영천시 최무선로 83 (오수동),4970.27,128.9105208,35.9582508
3308,코스트코 홀세일 부산점,"부산광역시 수영구 구락로 137 (망미동, 코스트코홀세일 부산점)",11001.87,129.115253,35.1784835
3309,메가마트 남천점,부산광역시 수영구 황령대로 521 (남천동),19000.58,129.1110036,35.1372573
3313,홈플러스(주) 영도점,부산광역시 영도구 대교로14번길 57 (봉래동2가),5340.15,129.04421,35.0959094
3317,롯데마트 광복점,부산광역시 중구 중앙대로 2 (중앙동7가),12347,129.0367835,35.0983889
3346,코스트코 홀세일 하남점,경기도 하남시 풍산동 344-1,14625.31,127.1936289,37.5507001
3349,홈플러스(주)하남점,경기도 하남시 신장동 570,10350,127.2129158,37.5375757
3352,홈플러스(주) 경기하남점,"경기도 하남시 하남대로 747 (신장동, 홈플러스 하남점)",10650,127.2129158,37.5375757
3353,이마트의왕점,"경기도 의왕시 경수대로 262 (오전동, 서해그랑블)",9875.45,126.9735792,37.3503731
3354,(주)이마트 양주점,경기도 양주시 평화로 1713 (회정동),8889.61,127.0538475,37.8417472
3357,롯데쇼핑(주) 롯데마트 의왕점,"경기도 의왕시 계원대학로 7 (내손동, 롯데마트)",11672,126.9728971,37.3805438
3370,롯데마트군산점,전라북도 군산시 수송로 185 (수송동),14381,126.716417,35.9647452
3371,(주)이마트군산점,전라북도 군산시 구암3.1로 137 (경암동),13871,126.7349975,35.9828053
3372,홈플러스(주) 김제점,전라북도 김제시 금성로 114 (검산동),13766.59,126.9031992,35.7999786
3385,(주)메가마트 언양점,울산광역시 울주군 삼남면 반구대로 612,7632.96,129.1174865,35.5469355
3394,롯데쇼핑(주) 롯데마트 김해점,경상남도 김해시 김해대로 2330 (부원동),11249.63,128.882049,35.2255482
3396,메가마트 김해점,경상남도 김해시 김해대로2492번길 20 (삼정동),14842,128.9007903,35.2266181
3399,롯데마트 장유점,경상남도 김해시 번화1로56번길 15 (대청동),11125.31,128.8012852,35.1930103
3401,홈플러스(주) 김해점,경상남도 김해시 김해대로 2078 (내동),31040.36,128.8702497,35.2418858
