_시설명,주    소,X,Y
포천반월아트홀,경기도 포천시 군내면 청성로 111,127.2121646,37.8957477
양평군민회관,경기도 양평군 양평읍 마유산로 1,127.4846534,37.4967509
세종국악당,경기도 여주시 영릉로 125,127.6249466,37.2971645
동두천시민회관,경기도 동두천시 어수로 4,127.0435395,37.9052832
가평문화예술회관,경기도 가평군 가평읍 문화로 131,127.5059727,37.8249775
과천시민회관,경기도 과천시 통영로 5,126.9894341,37.4280191
연천수레울아트홀,경기도 연천군 연천읍 문화로 150,127.0807778,38.1061465
춘천문화예술회관,강원도 춘천시 효자상길5번길 13,127.7293379,37.872619
치악예술관,원주시 서원대로 331(명륜동),127.9451768,37.3355837
원주백운아트홀,강원도 원주시 시청로 1(무실동),127.9190231,37.3410204
강릉단오제전수교육관,강원도 강릉시 단오장길 1,128.8950451,37.7482253
강릉아트센터,강원도 강릉시 종합운동장길 84,128.8953031,37.7724607
동해문화예술회관,강원도 동해시 평원로 15,129.1149316,37.5261504
태백문화예술회관,태백시 고원로 203(황지동),128.9880259,37.1719068
속초문화예술회관,강원도 속초시 번영로 155,128.5886327,38.2128794
삼척문화예술회관,강원도 삼척시 엑스포로 45,129.1604319,37.4383114
홍천문화예술회관,강원도 홍천군 홍천읍 설악로 1792,127.8954929,37.6889904
횡성문화예술회관,강원도 횡성군 횡성읍 문예로 75,127.9755974,37.4886182
영월문화예술회관,영월군 영월읍 단종로 24,128.4684473,37.1859495
평창문화예술회관,강원도 평창읍 문화예술길 51,128.390856,37.361414
아리랑센터,강원도 정선군 정선읍 애산로 51,128.6713305,37.3758719
정선군문화예술회관,강원도 정선군 정선읍 봉양3길 17,128.6602922,37.3802412
화강문화센터,강원도 철원군 서면 약수로 3,127.4268615,38.2452555
화천문화예술회관,화천군 화천읍 상승로 91,127.7048078,38.1086775
양구문화복지센터,양구읍 비봉로73번길 52,127.9838948,38.10914949
인제하늘내린센터,강원도 인제군 인제읍 비봉로44번길 100,128.1650561,38.0609185
고성군문화복지센터,강원도 고성군 거진읍 자산천로 240,128.4524961,38.4360988
양양문화복지회관,강원도 양양군 일출로 540,128.6267843,38.0768605
청주예술의전당,충청북도 청주시 서원구 흥덕로 69,127.4702752,36.6419117
청주아트홀,충청북도 청주시 서원구 예체로 118-1,127.4694594,36.6369334
충주문화회관,충청북도 충주시 중앙로 128(성내동),127.9372297,36.9706193
제천시문화회관,충청북도 제천시 의림대로6길 32,128.2106099,37.1304935
보은문화예술회관,충청북도 보은군 보은읍 뱃들로 54,127.7238571,36.4870108
옥천문화예술회관,충청북도 옥천군 옥천읍 문정1길 32,127.5741192,36.3037618
영동복합문화예술회관,충북 영동군 영동읍 영동힐링로 117,127.786847,36.156512
증평문화회관,충청북도 증평군 증평읍 삼보로 28,127.5700105,36.785793
화랑관,충청북도 진천군 진천읍 문화로 69-4,127.440129,36.8495605
괴산문화예술회관,충북 괴산군 괴산읍 읍내로 266,127.7939117,36.8069387
음성문화예술회관,충북 음성군 음성읍 예술로102,127.6805935,36.9315193
단양문화예술회관,충북 단양군 단양읍 중앙1로 32,128.368105,36.9855833
계룡문화예술의전당,계룡시 엄사면 문화1로 13,127.2341589,36.2729303
공주문예회관,충청남도 공주시 고마나루길5,127.1114161,36.4601849
금산다락원,금산군 금산읍 금산로 1559,127.4915857,36.1117121
부여국악의전당,충청남도 부여군 규암면 백제문로 388,126.8995489,36.3046199
서산시문화회관,서산시 문화로 52,126.4486139,36.7861944
청양문화예술회관,청양군 청양읍 문화예술로 187,126.8004774,36.4562394
태안군문화예술회관,태안군 백화로 200,126.3121361,36.7542036
홍주문화회관,충청남도 홍성군 홍성읍 내포로 164,126.6519251,36.5947482
논산문화예술회관,충청남도 논산시 시민로 270,127.0951441,36.1909285
보령문화예술회관,충청남도 보령시 성주산로 101,126.6145554,36.3338562
아산시평생학습관,아산시 남부로92(용화동),126.9919699,36.770458
예산군문예회관,충청남도 예산군 예산읍 아리랑로 185-14,126.849448,36.6854301
충청남도 문예회관,충청남도 예산군 삽교읍 도청대로 600,126.6724962,36.660114
천안예술의전당,충청남도 천안시 동남구 성남면 종합휴양지로 185,127.2256879,36.7560687
천안시시민문화여성회관 신부문화회관,충청남도 천안시 동남구 신부2길 12,127.1594312,36.8176733
천안시민문화여성회관 성환문화회관,천안시 서북구 성환읍 성진로15,127.1372444,36.9129194
당진문예의전당,당진시 무수동2길 25-21,126.6379077,36.8901764
서천문예의전당,충청남도 서천군 서천읍 서천로14번길 20,126.698364,36.0763402
전주덕진예술회관,권삼득로 407,127.1195771,35.84812949
한국소리문화의전당,덕진구 소리로 31,127.1382202,35.8562766
전라북도예술회관,팔달로 161,127.1471573,35.81697068
전주한벽문화관,전주천동로 20,127.1583903,35.81203558
군산예술의전당,군산시 백토로 203,126.7063341,35.961014
솜리문화예술회관,익산시 선화1로 106,126.9685057,35.9393186
익산예술의전당,익산시 동서로 490,126.9875205,35.9517469
정읍사예술회관,정읍시 시기4길 13,126.861618,35.5530042
연지아트홀,정읍시 중앙로 73,126.8491896,35.5706332
춘향문화예술회관,남원시 양림길43,127.3900707,35.4022317
김제문화예술회관,김제시 성산길 20,126.877019,35.802639
완주문화예술회관,완주군 용진면 지암로 61,127.1616574,35.9048704
향토예술문화회관,완주군 삼례읍 삼봉로 215,127.0932323,35.9199655
