시장명,최종주소,X,Y,점포수,bus_st_num_500m,bus_st_num_1k,Ur_rail_num_500m,Ur_rail_num_1k,Bus_te_num_2k ,Bus_te_num_3k,Bus_te_num_2_3k,spot_num_3k,spot_num_5k,spot_num_3_5k,univ_num_1k,parking_num_500m,parking_car_num_500m,점포당 주차구획수,mart_num_1.5k,Mart_num_bool,ur_park_num_165m,cull_hall_num_3k,cul_hall_num_5k,stor_cnt,residnt_cnt_sum,mkt_cnt_sum,stor_cnt_sum,person_mkt_cnt
영양시장,경상북도 영양군 영양읍 시장5길 4,129.1159128,36.6645555,77,0,0,0,0,0,0,0,0,0,0,0,6,278,4,0,0,0,1,1,62,16677,2,124,134
영월종합상가시장,강원도 영월군 영월읍 하송리 11-3,128.4667352,37.1822526,121,12,32,0,0,1,1,0,0,0,0,0,13,319,3,0,0,0,1,1,70,38710,5,369,105
영일대북부시장,경상북도 포항시 북구 대신로26번길 10-1,129.3691032,36.0462987,163,22,52,0,0,0,0,0,0,0,0,0,11,159,1,0,0,0,1,3,158,272566,21,2289,119
영일시장,서울특별시 영등포구 문래로30길 27,126.9007379,37.5161696,121,25,117,0,3,0,0,0,0,0,0,0,1,172,1,5,1,0,3,4,271,378276,24,5119,74
영주골목시장,경상북도 영주시 영주동 315-6,128.6229341,36.8245277,75,23,41,0,0,1,1,0,0,0,0,0,12,715,10,0,0,0,2,2,80,103272,23,1887,55
영주공설시장,경상북도 영주시 구성로 330번길 30,128.6263257,36.8225543,117,12,51,0,0,1,1,0,0,0,0,0,11,759,6,0,0,0,2,2,93,103272,23,1887,55
영주문화시장,경상북도 영주시 중앙로 83번길 32,128.6235568,36.8239116,165,19,42,0,0,1,1,0,0,0,0,0,13,932,6,0,0,0,2,2,207,103272,23,1887,55
영주소백쇼핑몰,경상북도 영주시 중앙로 80번길 33-12,128.6261539,36.8234744,92,16,52,0,0,1,1,0,0,0,0,0,10,723,8,0,0,0,2,2,93,103272,23,1887,55
영주시장,부산광역시 중구 영주동 595-3,129.0369874,35.11189,34,3,7,1,2,0,0,0,21,28,7,0,10,557,16,1,1,0,1,3,75,41501,30,6993,6
영주종합시장,경상북도 영주시 선비로79번길 40-12,128.6221144,36.8132673,80,11,45,0,0,1,1,0,0,0,0,1,10,469,6,1,1,0,2,2,63,103272,23,1887,55
영주중앙시장,경상북도 영주시 영주로 192번길 10-1,128.6209822,36.8257365,88,22,40,0,0,1,1,0,0,0,0,0,9,672,8,0,0,0,2,2,65,103272,23,1887,55
영진시장,서울특별시 마포구 동교로 12길 21,126.9126517,37.5534026,60,40,136,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,18,372320,16,994,375
영진시장(A동),서울특별시 영등포구 신풍로 87,126.9158629,37.5004511,56,36,123,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,2,5,56,378276,24,5119,74
영천공설시장,경상북도 영천시 시장4길 52,128.938759,35.9641349,250,30,80,0,0,1,1,0,0,0,0,0,6,387,2,0,0,0,1,1,175,101904,6,513,199
영천시장,서울특별시 서대문구 영천동 323,126.9618517,37.5703254,137,50,134,0,2,0,0,0,0,3,3,2,0,0,0,3,1,0,4,7,127,312325,11,1085,288
영춘전통시장(영춘재래시장),충청북도 단양군 영춘면 온달평강로 51,128.4839221,37.0780669,37,9,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,35,29239,8,504,58
영해만세시장,경상북도 영덕군 영해면 예주시장5길 21,129.40738,36.540949,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,91,36399,6,504,72
영해종합시장,부산광역시 사상구 학감대로 109-10,128.987961,35.1407116,39,2,10,0,0,0,1,1,1,7,6,0,1,214,5,0,0,0,0,0,33,213178,33,11709,18
예산상설장시장,충청남도 예산군 예산읍 형제고개로 967,126.8499554,36.6769011,110,0,0,0,0,0,0,0,0,0,0,0,8,187,2,0,0,0,1,1,100,78146,14,1047,75
예천맛고을시장,경상북도 예천군 예천읍 맛고을길 57,128.4548425,36.6569198,90,9,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,76,55558,1,76,731
예천상설장시장,경상북도 예천군 예천읍 동본리 553,128.4563808,36.6560307,82,8,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,76,55558,1,76,731
예천중앙시장,경상북도 예천군 예천읍 시장로127,128.4578209,36.6574401,65,10,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,76,55558,1,76,731
오류전통시장,대전광역시 중구 계룡로882번길 72,127.4079642,36.3219718,52,26,112,1,2,1,1,0,3,7,4,0,11,309,6,4,1,0,1,1,61,236492,21,2660,89
오색시장,경기도 오산시 오산로 272번길 21,127.0709502,37.1513251,323,18,80,0,1,1,1,0,0,0,0,0,6,448,1,2,1,0,1,1,350,229591,1,350,656
오수시장,전라북도 임실군 오수면 오수로 159,127.3268899,35.5383098,19,10,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,23,27424,7,375,73
오이도전통수산시장,"경기도 시흥시 오이도로 167,173",126.6882133,37.3458948,54,8,20,0,0,0,0,0,0,0,0,0,4,395,7,0,0,1,0,0,74,497925,4,332,1500
오정시장,경기도 부천시 부천로 470번길 50,126.7857079,37.5259724,68,31,142,0,0,0,0,0,0,2,2,0,2,201,3,0,0,0,0,2,73,819990,19,1910,429
오창전통시장,충청북도 청주시 청원구 오창읍 장대리 309-4,127.4555933,36.741707,68,10,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,78,193973,8,641,303
오천삼광시장,경상북도 포항시 남구 오천읍 정몽주로679번길 3,129.4123878,35.9781776,58,10,23,0,0,0,0,0,0,0,0,0,6,69,1,0,0,0,0,0,61,230573,13,828,278
오천시장,경상북도 포항시 남구 오천읍 해병로 307번길 26-3,129.4142303,35.966476,110,14,38,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,0,0,61,230573,13,828,278
옥골시장,울산광역시 중구 중앙시장길17-7,129.3229598,35.5552302,73,28,82,0,0,0,1,1,0,0,0,0,3,895,12,1,1,0,2,3,79,218096,36,4106,53
옥수동새시장,경상남도 거제시 능포로 136-2,128.7321261,34.8757292,50,7,18,0,0,1,1,0,0,4,4,0,3,103,2,0,0,0,1,1,40,245956,10,731,336
옥수시장,경상남도 거제시 옥수로2길 10,128.7308539,34.8753492,59,7,21,0,0,1,1,0,0,4,4,0,3,103,2,0,0,0,1,1,40,245956,10,731,336
옥천공설시장,충청북도 옥천군 옥천읍 금구리 5-68,127.5679129,36.3025138,24,27,55,0,0,1,1,0,0,0,0,1,13,592,25,0,0,0,1,1,38,50619,4,130,389
옥천상가,충청북도 옥천군 옥천읍 삼금로 45,127.5682143,36.3023887,57,27,51,0,0,1,1,0,0,0,0,1,13,592,10,0,0,0,1,1,57,50619,4,130,389
